Squad,Shots Pg,Yellow ,Red,Possession%,Pass%,AerialsWon,Rating,Year,League,,,,,,,,,,
Liverpool,17.1,54,1,27.7,84.1,15.2,7.18,2013/14,PL,,,,,,,,,,
Manchester City,17.7,72,1,55.7,85.5,15.2,7.13,2013/14,PL,,,,,,,,,,
Chelsea,18.2,57,3,53.9,82.7,19.3,7.07,2013/14,PL,,,,,,,,,,
Arsenal,13.8,53,4,30.7,85.5,17.9,7.05,2013/14,PL,,,,,,,,,,
Everton,14.8,55,1,54.4,83.2,14.3,7.01,2013/14,PL,,,,,,,,,,
Manchester United,13.8,66,3,54.3,84,15.4,6.95,2013/14,PL,,,,,,,,,,
Southampton,14.1,60,0,27.2,81.1,17.4,6.91,2013/14,PL,,,,,,,,,,
Crystal Palace,10.9,58,2,16.9,70.2,23.2,6.85,2013/14,PL,,,,,,,,,,
Tottenham,15.4,66,4,29.4,81.1,15,6.84,2013/14,PL,,,,,,,,,,
Stoke,11.3,72,5,48.1,77.3,25.3,6.83,2013/14,PL,,,,,,,,,,
Newcastle,15.2,52,6,49.8,79.4,20.6,6.82,2013/14,PL,,,,,,,,,,
Swansea,13,55,3,55.6,84.8,14.9,6.81,2013/14,PL,,,,,,,,,,
West Ham,11.1,62,5,44.2,73.1,21.2,6.79,2013/14,PL,,,,,,,,,,
West Bromwich,12.8,67,0,47.2,77.1,18.2,6.75,2013/14,PL,,,,,,,,,,
Hull,11.3,53,4,44.4,76.1,18.9,6.72,2013/14,PL,,,,,,,,,,
Aston Villa,11.3,78,0,44.8,73.2,19.3,6.71,2013/14,PL,,,,,,,,,,
Sunderland,12.9,69,7,13.4,77.5,15,6.68,2013/14,PL,,,,,,,,,,
Norwich,12.3,62,2,46.4,75.9,15.8,6.66,2013/14,PL,,,,,,,,,,
Fulham,11.3,58,1,45.7,78,17.1,6.66,2013/14,PL,,,,,,,,,,
Cardiff,11,49,1,45.9,75.4,18.5,6.64,2013/14,PL,,,,,,,,,,
Leicester,17.2,52,2,0,77.1,20.9,7,2013/14,CS,,,,,,,,,,
Burnley,13.9,49,2,0,69.7,22.8,6.98,2013/14,CS,,,,,,,,,,
Derby,15.1,72,2,0,79.1,20.7,6.94,2013/14,CS,,,,,,,,,,
Queens Park Rangers,14.2,61,4,0,79.2,19.4,6.93,2013/14,CS,,,,,,,,,,
Brighton,13.7,75,2,0,78.9,17.5,6.93,2013/14,CS,,,,,,,,,,
Wigan,14.8,75,2,0,73.7,19,6.91,2013/14,CS,,,,,,,,,,
Birmingham,11.9,79,2,0,69.1,20.8,6.89,2013/14,CS,,,,,,,,,,
Blackburn,15.1,73,4,0,73.9,23,6.89,2013/14,CS,,,,,,,,,,
Leeds,13,70,2,0,72.4,28.1,6.88,2013/14,CS,,,,,,,,,,
Reading,12.7,72,6,0,69.7,23.8,6.85,2013/14,CS,,,,,,,,,,
Bournemouth,15.1,66,4,0,76.4,20.2,6.85,2013/14,CS,,,,,,,,,,
